category,category code,characteristic,variable name
canned soups,cso,low sodium,low_sodium
canned soups,cso,broth,broth
canned soups,cso,campbell's brand,campbell_brnad
canned soups,cso,progresso brand,prog_brand
canned soups,cso,chicken noodle,chx_noodle
canned soups,cso,chowder,chowder
canned soups,cso,minestrone,minestrone
canned soups,cso,tomato soup,tomato
dish detergent,did,dove brand,dove
dish detergent,did,sunlight brand,sunlight
dish detergent,did,gel,gel
dish detergent,did,powder,powder
dish detergent,did,ajax brand,ajax
dish detergent,did,lemon or lime scented,lem_lime
dish detergent,did,dawn brand,dawn
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
toilet paper,tti,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
bottle juice,bjc,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,
analgesics,ana,,